iter	Logloss
0	0.5334901132
1	0.441620157
2	0.3668058551
3	0.3175561581
4	0.290438996
5	0.2696021496
6	0.2561670451
7	0.243651235
8	0.2353679589
9	0.2294499777
10	0.2236544691
11	0.2186898765
12	0.214550541
13	0.2118786812
14	0.2097509707
15	0.2074367782
16	0.205638066
17	0.2038854082
18	0.2024598859
19	0.2006676916
20	0.1992218148
21	0.1980085802
22	0.1944890014
23	0.1936711907
24	0.192817375
25	0.1916312756
26	0.1906556002
27	0.1900231636
28	0.1894776545
29	0.1888897209
30	0.1884191823
31	0.1879714566
32	0.1874906098
33	0.1872593068
34	0.1869177866
35	0.1863905458
36	0.1841514061
37	0.1825992718
38	0.1820644205
39	0.1818266893
40	0.1815634007
41	0.1813298964
42	0.1811011325
43	0.1808538125
44	0.1806403311
45	0.1802707812
46	0.1800238176
47	0.179765258
48	0.1796050247
49	0.1794522543
50	0.1794241387
51	0.1793288557
52	0.1789644234
53	0.1787992723
54	0.1776443425
55	0.1775259654
56	0.1773659226
57	0.1771694933
58	0.1770378438
59	0.1770175696
60	0.1768185724
61	0.1766998924
62	0.175729819
63	0.1755843771
64	0.1754558916
65	0.1748907693
66	0.1747861016
67	0.1746443559
68	0.1745453758
69	0.1743744427
70	0.173892159
71	0.1737904704
72	0.1736489672
73	0.1734806113
74	0.1731227601
75	0.1730350486
76	0.1729382096
77	0.1728575019
78	0.1726240937
79	0.1723650516
80	0.1723133494
81	0.1722461101
82	0.1721599805
83	0.1720744898
84	0.171954881
85	0.1719057695
86	0.1718522684
87	0.1717093353
88	0.1716740765
89	0.1714999886
90	0.1714037215
91	0.1712817509
92	0.1712260291
93	0.1711026751
94	0.17103779
95	0.1709684089
96	0.1709089952
97	0.1708095762
98	0.1707104169
99	0.1706120325
100	0.1704850511
101	0.1704016634
102	0.1702512149
103	0.1701842171
104	0.1700620207
105	0.1699083744
106	0.1696076043
107	0.1695390941
108	0.1694577911
109	0.169349212
110	0.16929286
111	0.1692229907
112	0.1691596685
113	0.1691280388
114	0.1690423014
115	0.1689803184
116	0.168896786
117	0.1688508659
118	0.1687895962
119	0.1687497428
120	0.1686768918
121	0.1686111205
122	0.1685843889
123	0.1684972327
124	0.1683720167
125	0.1681505409
126	0.168061765
127	0.1679723229
128	0.1678870929
129	0.1677032715
130	0.16764918
131	0.1675933571
132	0.1675185284
133	0.1673665184
134	0.1672923016
135	0.1672197229
136	0.1671676155
137	0.1670735272
138	0.1670290616
139	0.1669231906
140	0.1668251893
141	0.1667791964
142	0.1667468466
143	0.1666744237
144	0.1665773302
145	0.166505659
146	0.166398321
147	0.1663274427
148	0.1662640472
149	0.1662331418
150	0.1661759532
151	0.1660921526
152	0.166028612
153	0.1659404793
154	0.1658039831
155	0.1657192012
156	0.1656853237
157	0.1655848724
158	0.1654641871
159	0.1653787476
160	0.1653247119
161	0.1652774005
162	0.1651895142
163	0.1651201596
164	0.165078317
165	0.1650462962
166	0.1649564544
167	0.1649121848
168	0.1648391125
169	0.1647832652
170	0.1646246263
171	0.164590318
172	0.1644763865
173	0.1644215201
174	0.1643787495
175	0.1642603036
176	0.164201473
177	0.1640305071
178	0.1639715558
179	0.1638715151
180	0.1637580899
181	0.1636704273
182	0.1636038936
183	0.1634757908
184	0.1633976443
185	0.163298482
186	0.1632245731
187	0.1630754842
188	0.1629468898
189	0.1628094765
190	0.1627349692
191	0.1626199778
192	0.1624480379
193	0.1623403025
194	0.1622616175
195	0.1621275233
196	0.162034862
197	0.1619107685
198	0.1618137202
199	0.1617270057
200	0.1616355855
201	0.1615503317
202	0.1614535392
203	0.1614180792
204	0.1613376727
205	0.1612594833
206	0.1611381332
207	0.1610147701
208	0.160923182
209	0.160825598
210	0.1607637773
211	0.1606040599
212	0.160518036
213	0.1603952115
214	0.1602793571
215	0.1601656439
216	0.1601216418
